Variety 	Length	GroupNum
bihai	47.12	1
bihai	46.75	1
bihai	46.81	1
bihai	47.12	1
bihai	46.67	1
bihai	47.43	1
bihai	46.44	1
bihai	46.64	1
bihai	48.07	1
bihai	48.34	1
bihai	48.15	1
bihai	50.26	1
bihai	50.12	1
bihai	46.34	1
bihai	46.94	1
bihai	48.36	1
red	41.90	2
red	42.01	2
red	41.93	2
red	43.09	2
red	41.47	2
red	41.69	2
red	39.78	2
red	40.57	2
red	39.63	2
red	42.18	2
red	40.66	2
red	37.87	2
red	39.16	2
red	37.40	2
red	38.20	2
red	38.07	2
red	38.10	2
red	37.97	2
red	38.79	2
red	38.23	2
red	38.87	2
red	37.78	2
red	38.01	2
yellow	36.78	3
yellow	37.02	3
yellow	36.52	3
yellow	36.11	3
yellow	36.03	3
yellow	35.45	3
yellow	38.13	3
yellow	37.10	3
yellow	35.17	3
yellow	36.82	3
yellow	36.66	3
yellow	35.68	3
yellow	36.03	3
yellow	34.57	3
yellow	34.63	3
