Gender	StudyTime	GroupNum
F	180	1
F	120	1
F	180	1
F	360	1
F	240	1
F	120	1
F	180	1
F	120	1
F	240	1
F	170	1
F	150	1
F	120	1
F	180	1
F	180	1
F	150	1
F	200	1
F	150	1
F	180	1
F	150	1
F	180	1
F	120	1
F	60	1
F	120	1
F	180	1
F	180	1
F	90	1
F	240	1
F	180	1
F	115	1
F	120	1
M	90	2
M	120	2
M	30	2
M	90	2
M	200	2
M	90	2
M	45	2
M	30	2
M	120	2
M	75	2
M	150	2
M	120	2
M	60	2
M	240	2
M	300	2
M	240	2
M	60	2
M	120	2
M	60	2
M	30	2
M	30	2
M	230	2
M	120	2
M	95	2
M	150	2
M	0	2
M	200	2
M	120	2
M	120	2
M	180	2
